recom,recomH1,cell,homologousAutoRecom,transposonEffect,genotoxic
1e-04,switch,diploid,TRUE,TRUE,3
1e-04,homeostatic,diploid,TRUE,TRUE,3
0,switch,diploid,TRUE,TRUE,3
0,homeostatic,diploid,TRUE,TRUE,3
0.1,switch,haploid,FALSE,TRUE,3
0.1,homeostatic,haploid,FALSE,TRUE,3
0.01,switch,haploid,FALSE,TRUE,3
0.01,homeostatic,haploid,FALSE,TRUE,3
0.001,switch,haploid,FALSE,TRUE,3
0.001,homeostatic,haploid,FALSE,TRUE,3
1e-04,switch,haploid,FALSE,TRUE,3
1e-04,homeostatic,haploid,FALSE,TRUE,3
0,switch,haploid,FALSE,TRUE,3
0,homeostatic,haploid,FALSE,TRUE,3
0.1,switch,diploid,FALSE,TRUE,3
0.1,homeostatic,diploid,FALSE,TRUE,3
0.01,switch,diploid,FALSE,TRUE,3
0.01,homeostatic,diploid,FALSE,TRUE,3
0.001,switch,diploid,FALSE,TRUE,3
0.001,homeostatic,diploid,FALSE,TRUE,3
1e-04,switch,diploid,FALSE,TRUE,3
1e-04,homeostatic,diploid,FALSE,TRUE,3
0,switch,diploid,FALSE,TRUE,3
0,homeostatic,diploid,FALSE,TRUE,3
0.1,switch,haploid,TRUE,FALSE,3
0.1,homeostatic,haploid,TRUE,FALSE,3
0.01,switch,haploid,TRUE,FALSE,3
0.01,homeostatic,haploid,TRUE,FALSE,3
0.001,switch,haploid,TRUE,FALSE,3
0.001,homeostatic,haploid,TRUE,FALSE,3
1e-04,switch,haploid,TRUE,FALSE,3
1e-04,homeostatic,haploid,TRUE,FALSE,3
0,switch,haploid,TRUE,FALSE,3
0,homeostatic,haploid,TRUE,FALSE,3
0.1,switch,diploid,TRUE,FALSE,3
0.1,homeostatic,diploid,TRUE,FALSE,3
0.01,switch,diploid,TRUE,FALSE,3
0.01,homeostatic,diploid,TRUE,FALSE,3
0.001,switch,diploid,TRUE,FALSE,3
0.001,homeostatic,diploid,TRUE,FALSE,3
1e-04,switch,diploid,TRUE,FALSE,3
1e-04,homeostatic,diploid,TRUE,FALSE,3
0,switch,diploid,TRUE,FALSE,3
0,homeostatic,diploid,TRUE,FALSE,3
0.1,switch,haploid,FALSE,FALSE,3
0.1,homeostatic,haploid,FALSE,FALSE,3
0.01,switch,haploid,FALSE,FALSE,3
0.01,homeostatic,haploid,FALSE,FALSE,3
0.001,switch,haploid,FALSE,FALSE,3
0.001,homeostatic,haploid,FALSE,FALSE,3
1e-04,switch,haploid,FALSE,FALSE,3
1e-04,homeostatic,haploid,FALSE,FALSE,3
0,switch,haploid,FALSE,FALSE,3
0,homeostatic,haploid,FALSE,FALSE,3
0.1,switch,diploid,FALSE,FALSE,3
0.1,homeostatic,diploid,FALSE,FALSE,3
0.01,switch,diploid,FALSE,FALSE,3
0.01,homeostatic,diploid,FALSE,FALSE,3
0.001,switch,diploid,FALSE,FALSE,3
0.001,homeostatic,diploid,FALSE,FALSE,3
1e-04,switch,diploid,FALSE,FALSE,3
1e-04,homeostatic,diploid,FALSE,FALSE,3
0,switch,diploid,FALSE,FALSE,3
0,homeostatic,diploid,FALSE,FALSE,3
0.1,switch,haploid,TRUE,TRUE,4
0.1,homeostatic,haploid,TRUE,TRUE,4
0.01,switch,haploid,TRUE,TRUE,4
0.01,homeostatic,haploid,TRUE,TRUE,4
0.001,switch,haploid,TRUE,TRUE,4
0.001,homeostatic,haploid,TRUE,TRUE,4
1e-04,switch,haploid,TRUE,TRUE,4
1e-04,homeostatic,haploid,TRUE,TRUE,4
0,switch,haploid,TRUE,TRUE,4
0,homeostatic,haploid,TRUE,TRUE,4
0.1,switch,diploid,TRUE,TRUE,4
0.1,homeostatic,diploid,TRUE,TRUE,4
0.01,switch,diploid,TRUE,TRUE,4
0.01,homeostatic,diploid,TRUE,TRUE,4
0.001,switch,diploid,TRUE,TRUE,4
0.001,homeostatic,diploid,TRUE,TRUE,4
1e-04,switch,diploid,TRUE,TRUE,4
1e-04,homeostatic,diploid,TRUE,TRUE,4
0,switch,diploid,TRUE,TRUE,4
0,homeostatic,diploid,TRUE,TRUE,4
0.1,switch,haploid,FALSE,TRUE,4
0.1,homeostatic,haploid,FALSE,TRUE,4
0.01,switch,haploid,FALSE,TRUE,4
0.01,homeostatic,haploid,FALSE,TRUE,4
0.001,switch,haploid,FALSE,TRUE,4
0.001,homeostatic,haploid,FALSE,TRUE,4
1e-04,switch,haploid,FALSE,TRUE,4
1e-04,homeostatic,haploid,FALSE,TRUE,4
0,switch,haploid,FALSE,TRUE,4
0,homeostatic,haploid,FALSE,TRUE,4
0.1,switch,diploid,FALSE,TRUE,4
0.1,homeostatic,diploid,FALSE,TRUE,4
0.01,switch,diploid,FALSE,TRUE,4
0.01,homeostatic,diploid,FALSE,TRUE,4
0.001,switch,diploid,FALSE,TRUE,4
0.001,homeostatic,diploid,FALSE,TRUE,4
1e-04,switch,diploid,FALSE,TRUE,4
1e-04,homeostatic,diploid,FALSE,TRUE,4
0,switch,diploid,FALSE,TRUE,4
0,homeostatic,diploid,FALSE,TRUE,4
0.1,switch,haploid,TRUE,FALSE,4
0.1,homeostatic,haploid,TRUE,FALSE,4
0.01,switch,haploid,TRUE,FALSE,4
0.01,homeostatic,haploid,TRUE,FALSE,4
0.001,switch,haploid,TRUE,FALSE,4
0.001,homeostatic,haploid,TRUE,FALSE,4
1e-04,switch,haploid,TRUE,FALSE,4
1e-04,homeostatic,haploid,TRUE,FALSE,4
0,switch,haploid,TRUE,FALSE,4
0,homeostatic,haploid,TRUE,FALSE,4
0.1,switch,diploid,TRUE,FALSE,4
0.1,homeostatic,diploid,TRUE,FALSE,4
0.01,switch,diploid,TRUE,FALSE,4
0.01,homeostatic,diploid,TRUE,FALSE,4
0.001,switch,diploid,TRUE,FALSE,4
0.001,homeostatic,diploid,TRUE,FALSE,4
1e-04,switch,diploid,TRUE,FALSE,4
1e-04,homeostatic,diploid,TRUE,FALSE,4
0,switch,diploid,TRUE,FALSE,4
0,homeostatic,diploid,TRUE,FALSE,4
0.1,switch,haploid,FALSE,FALSE,4
0.1,homeostatic,haploid,FALSE,FALSE,4
0.01,switch,haploid,FALSE,FALSE,4
0.01,homeostatic,haploid,FALSE,FALSE,4
0.001,switch,haploid,FALSE,FALSE,4
0.001,homeostatic,haploid,FALSE,FALSE,4
1e-04,switch,haploid,FALSE,FALSE,4
1e-04,homeostatic,haploid,FALSE,FALSE,4
0,switch,haploid,FALSE,FALSE,4
0,homeostatic,haploid,FALSE,FALSE,4
0.1,switch,diploid,FALSE,FALSE,4
0.1,homeostatic,diploid,FALSE,FALSE,4
0.01,switch,diploid,FALSE,FALSE,4
0.01,homeostatic,diploid,FALSE,FALSE,4
0.001,switch,diploid,FALSE,FALSE,4
0.001,homeostatic,diploid,FALSE,FALSE,4
1e-04,switch,diploid,FALSE,FALSE,4
1e-04,homeostatic,diploid,FALSE,FALSE,4
0,switch,diploid,FALSE,FALSE,4
0,homeostatic,diploid,FALSE,FALSE,4
